Organization 1 has 5 low density subscriptions, 9 high density subscriptions, and 4 physical servers with a total of 4 sockets. They are running 3 virtual machines, with 10 deployed in the cloud. There are 4 virtualization hosts. Is this organization compliant?
Organization 145 has 8 low density subscriptions, 4 high density subscriptions, and 4 physical servers with a total of 9 sockets. They are running 0 virtual machines, with 4 deployed in the cloud. There are 1 virtualization hosts. Is this organization compliant?
Organization 146 has 2 low density subscriptions, 0 high density subscriptions, and 1 physical servers with a total of 7 sockets. They are running 27 virtual machines, with 5 deployed in the cloud. There are 4 virtualization hosts. Is this organization compliant?
Organization 147 has 8 low density subscriptions, 2 high density subscriptions, and 4 physical servers with a total of 3 sockets. They are running 48 virtual machines, with 11 deployed in the cloud. There are 3 virtualization hosts. Is this organization compliant?
Organization 148 has 4 low density subscriptions, 1 high density subscriptions, and 5 physical servers with a total of 9 sockets. They are running 25 virtual machines, with 5 deployed in the cloud. There are 0 virtualization hosts. Is this organization compliant?
Organization 149 has 3 low density subscriptions, 3 high density subscriptions, and 2 physical servers with a total of 2 sockets. They are running 29 virtual machines, with 8 deployed in the cloud. There are 0 virtualization hosts. Is this organization compliant?
Organization 150 has 0 low density subscriptions, 1 high density subscriptions, and 1 physical servers with a total of 9 sockets. They are running 7 virtual machines, with 8 deployed in the cloud. There are 4 virtualization hosts. Is this organization compliant?
Organization 151 has 4 low density subscriptions, 4 high density subscriptions, and 4 physical servers with a total of 3 sockets. They are running 26 virtual machines, with 2 deployed in the cloud. There are 4 virtualization hosts. Is this organization compliant?
Organization 152 has 3 low density subscriptions, 7 high density subscriptions, and 4 physical servers with a total of 8 sockets. They are running 31 virtual machines, with 14 deployed in the cloud. There are 4 virtualization hosts. Is this organization compliant?
Organization 153 has 6 low density subscriptions, 5 high density subscriptions, and 5 physical servers with a total of 9 sockets. They are running 14 virtual machines, with 1 deployed in the cloud. There are 0 virtualization hosts. Is this organization compliant?
Organization 154 has 9 low density subscriptions, 6 high density subscriptions, and 7 physical servers with a total of 1 sockets. They are running 19 virtual machines, with 13 deployed in the cloud. There are 4 virtualization hosts. Is this organization compliant?
Organization 155 has 8 low density subscriptions, 9 high density subscriptions, and 6 physical servers with a total of 2 sockets. They are running 8 virtual machines, with 1 deployed in the cloud. There are 2 virtualization hosts. Is this organization compliant?
Organization 156 has 0 low density subscriptions, 2 high density subscriptions, and 8 physical servers with a total of 2 sockets. They are running 39 virtual machines, with 7 deployed in the cloud. There are 2 virtualization hosts. Is this organization compliant?
Organization 157 has 8 low density subscriptions, 5 high density subscriptions, and 2 physical servers with a total of 2 sockets. They are running 29 virtual machines, with 12 deployed in the cloud. There are 3 virtualization hosts. Is this organization compliant?
Organization 158 has 5 low density subscriptions, 2 high density subscriptions, and 6 physical servers with a total of 3 sockets. They are running 23 virtual machines, with 9 deployed in the cloud. There are 1 virtualization hosts. Is this organization compliant?
Organization 159 has 9 low density subscriptions, 2 high density subscriptions, and 8 physical servers with a total of 9 sockets. They are running 13 virtual machines, with 14 deployed in the cloud. There are 3 virtualization hosts. Is this organization compliant?
Organization 160 has 0 low density subscriptions, 1 high density subscriptions, and 7 physical servers with a total of 8 sockets. They are running 40 virtual machines, with 12 deployed in the cloud. There are 0 virtualization hosts. Is this organization compliant?
Organization 161 has 9 low density subscriptions, 3 high density subscriptions, and 7 physical servers with a total of 7 sockets. They are running 1 virtual machines, with 16 deployed in the cloud. There are 2 virtualization hosts. Is this organization compliant?
Organization 162 has 6 low density subscriptions, 8 high density subscriptions, and 7 physical servers with a total of 2 sockets. They are running 25 virtual machines, with 3 deployed in the cloud. There are 1 virtualization hosts. Is this organization compliant?
Organization 163 has 5 low density subscriptions, 3 high density subscriptions, and 2 physical servers with a total of 9 sockets. They are running 24 virtual machines, with 2 deployed in the cloud. There are 2 virtualization hosts. Is this organization compliant?
Organization 164 has 3 low density subscriptions, 0 high density subscriptions, and 9 physical servers with a total of 2 sockets. They are running 30 virtual machines, with 1 deployed in the cloud. There are 4 virtualization hosts. Is this organization compliant?
Organization 165 has 1 low density subscriptions, 7 high density subscriptions, and 5 physical servers with a total of 8 sockets. They are running 41 virtual machines, with 17 deployed in the cloud. There are 0 virtualization hosts. Is this organization compliant?
Organization 166 has 8 low density subscriptions, 3 high density subscriptions, and 3 physical servers with a total of 5 sockets. They are running 16 virtual machines, with 11 deployed in the cloud. There are 1 virtualization hosts. Is this organization compliant?
Organization 167 has 0 low density subscriptions, 8 high density subscriptions, and 1 physical servers with a total of 9 sockets. They are running 11 virtual machines, with 16 deployed in the cloud. There are 3 virtualization hosts. Is this organization compliant?
Organization 168 has 4 low density subscriptions, 2 high density subscriptions, and 3 physical servers with a total of 9 sockets. They are running 39 virtual machines, with 9 deployed in the cloud. There are 0 virtualization hosts. Is this organization compliant?
Organization 169 has 9 low density subscriptions, 4 high density subscriptions, and 9 physical servers with a total of 5 sockets. They are running 7 virtual machines, with 16 deployed in the cloud. There are 3 virtualization hosts. Is this organization compliant?
Organization 170 has 6 low density subscriptions, 3 high density subscriptions, and 4 physical servers with a total of 1 sockets. They are running 38 virtual machines, with 3 deployed in the cloud. There are 3 virtualization hosts. Is this organization compliant?
Organization 171 has 5 low density subscriptions, 1 high density subscriptions, and 8 physical servers with a total of 8 sockets. They are running 21 virtual machines, with 9 deployed in the cloud. There are 3 virtualization hosts. Is this organization compliant?
